Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
73,-0.237444,-2.49524,-3.62578,0.968282,1250.17,-48.1529,26.5357,1247.76,502.383,0,0,0.00120473,0.0001817,0.0226149,1.32693,-0.0682025,1.34373,0,0,1.01E+06,1.02E+06,0.106683,0.0377334
74,-0.240533,-2.49524,-3.637,0.979925,1246.17,-48.6635,28.8389,1244.01,485.086,0,0,0.00120473,0.0001817,0.0159751,1.33736,-0.0688801,1.35346,0,0,1.01E+06,1.02E+06,0.105991,0.0376127
75,-0.243623,-2.49524,-3.64823,0.991569,1242.18,-49.1741,31.142,1240.25,467.789,0,0,0.00120473,0.0001817,0.00933534,1.34779,-0.0695578,1.36318,0,0,1.01E+06,1.01E+06,0.105299,0.0374921
76,-0.246712,-2.49524,-3.65946,1.00321,1246.36,-49.0589,30.2406,1244.62,453.045,0,0,0.00120473,0.0001817,0.00492212,1.34893,-0.0681146,1.3637,0,0,1.01E+06,1.01E+06,0.106198,0.0376183
77,-0.249802,-2.49524,-3.67068,1.01486,1258.99,-48.297,26.0272,1257.37,440.94,0,0,0.00120473,0.0001817,0.00280977,1.34048,-0.0644796,1.3547,0,0,1.01E+06,1.02E+06,0.108742,0.0379996
78,-0.252891,-2.49524,-3.68191,1.0265,1271.62,-47.5351,21.8138,1270.12,428.836,0,0,0.00120473,0.0001817,0.000697426,1.33202,-0.0608446,1.34569,0,0,1.01E+06,1.02E+06,0.111286,0.0383808
79,-0.255981,-2.49523,-3.69313,1.03814,1284.25,-46.7732,17.6004,1282.87,416.731,0,0,0.00120473,0.0001817,-0.00141493,1.32356,-0.0572096,1.33669,0,0,1.01E+06,1.02E+06,0.11383,0.0387621
80,-0.25907,-2.49523,-3.70436,1.04979,1296.88,-46.0112,13.3871,1295.62,404.627,0,0,0.00120473,0.0001817,-0.00352728,1.31511,-0.0535746,1.32769,0,0,1.01E+06,1.02E+06,0.116374,0.0391434
81,-0.26216,-2.49523,-3.71559,1.06143,1309.52,-45.2493,9.17369,1308.37,392.522,0,0,0.00120473,0.0001817,-0.00563963,1.30665,-0.0499395,1.31869,0,0,1.01E+06,1.02E+06,0.118917,0.0395246
82,-0.256407,-2.49493,-3.72447,1.07202,1323.51,-43.0634,10.462,1322.44,383.179,0,0,0.00120473,0.0001817,-0.0130905,1.33506,-0.0513074,1.34609,0,0,1.01E+06,1.02E+06,0.118153,0.039947
83,-0.250655,-2.49462,-3.73335,1.0826,1332.11,-40.3081,14.3817,1331.07,370.117,0,0,0.00120473,0.0001817,-0.0241114,1.38422,-0.0539529,1.39448,0,0,1.01E+06,1.02E+06,0.116003,0.0402065
84,-0.244902,-2.49432,-3.74224,1.09319,1340.71,-37.5529,18.3014,1339.71,357.056,0,0,0.00120473,0.0001817,-0.035132,1.43338,-0.056599,1.44288,0,0,1.01E+06,1.01E+06,0.113854,0.0404661
85,-0.23915,-2.49402,-3.75112,1.10378,1349.47,-34.8387,21.815,1348.51,344.211,0,0,0.00120473,0.0001817,-0.045496,1.47765,-0.0588225,1.4864,0,0,1.01E+06,1.01E+06,0.111926,0.0407305
86,-0.233397,-2.49371,-3.76,1.11437,1360.45,-32.6794,19.8495,1359.54,334.301,0,0,0.00120473,0.0001817,-0.0469963,1.45606,-0.0553535,1.4641,0,0,1.01E+06,1.01E+06,0.112996,0.041062
87,-0.227645,-2.49341,-3.76888,1.12495,1371.44,-30.52,17.8841,1370.57,324.39,0,0,0.00120473,0.0001817,-0.0484966,1.43448,-0.0518845,1.44181,0,0,1.01E+06,1.01E+06,0.114065,0.0413935
88,-0.221892,-2.4931,-3.77777,1.13554,1382.42,-28.3606,15.9186,1381.6,314.479,0,0,0.00120473,0.0001817,-0.0499968,1.41289,-0.0484154,1.41951,0,0,1.01E+06,1.01E+06,0.115135,0.041725
89,-0.21614,-2.4928,-3.78665,1.14613,1393.41,-26.2015,13.9531,1392.64,304.569,0,0,0.00120473,0.0001817,-0.051497,1.3913,-0.0449471,1.39721,0,0,1.01E+06,1.01E+06,0.116204,0.0420566
